order_id,product,category,price,quantity,order_date,country
1008,Notebook,Stationery,3.59,3,2024-01-06,France
1003,Laptop,Electronics,793.48,1,2024-01-03,Germany
1004,Monitor,Electronics,154.85,1,2024-01-03,Spain
1002,Mouse,Electronics,21.51,1,2024-01-02,France
1002,Mouse,Electronics,19.76,2,2024-01-02,France
1007,Headphones,Electronics,49.4,1,2024-01-05,Germany
1007,Headphones,Electronics,53.94,2,2024-01-05,Germany
1009,Pencil,Stationery,1.03,10,2024-01-06,Spain
1003,Laptop,Electronics,780.24,2,2024-01-03,Germany
1009,Pencil,Stationery,1.02,11,2024-01-06,Spain
1005,Desk,Furniture,97.67,2,2024-01-04,France
1010,Backpack,Accessories,39.06,1,2024-01-07,Italy
1005,Desk,Furniture,101.2,1,2024-01-04,France
1010,Backpack,Accessories,36.16,2,2024-01-07,Italy
1003,Laptop,Electronics,730.09,1,2024-01-03,Germany
1005,Desk,Furniture,97.18,1,2024-01-04,France
1006,Chair,Furniture,56.95,1,2024-01-04,Italy
1007,Headphones,Electronics,50.78,2,2024-01-05,Germany
1005,Desk,Furniture,95.45,2,2024-01-04,France
1008,Notebook,Stationery,3.25,5,2024-01-06,France
1006,Chair,Furniture,64.39,3,2024-01-04,Italy
1002,Mouse,Electronics,19.76,2,2024-01-02,France
1010,Backpack,Accessories,40.13,2,2024-01-07,Italy
1007,Headphones,Electronics,46.43,1,2024-01-05,Germany
1001,Keyboard,Electronics,29.17,2,2024-01-02,France
1008,Notebook,Stationery,3.52,4,2024-01-06,France
1003,Laptop,Electronics,753.02,1,2024-01-03,Germany
1005,Desk,Furniture,101.87,1,2024-01-04,France
1010,Backpack,Accessories,38.79,1,2024-01-07,Italy
1005,Desk,Furniture,98.53,1,2024-01-04,France
1002,Mouse,Electronics,19.39,1,2024-01-02,France
1005,Desk,Furniture,109.25,2,2024-01-04,France
1007,Headphones,Electronics,49.96,2,2024-01-05,Germany
1002,Mouse,Electronics,18.93,1,2024-01-02,France
1003,Laptop,Electronics,831.86,1,2024-01-03,Germany
1005,Desk,Furniture,93.89,1,2024-01-04,France
1004,Monitor,Electronics,151.56,1,2024-01-03,Spain
1009,Pencil,Stationery,0.89,11,2024-01-06,Spain
1007,Headphones,Electronics,46.67,1,2024-01-05,Germany
1006,Chair,Furniture,60.58,2,2024-01-04,Italy
1004,Monitor,Electronics,155.53,2,2024-01-03,Spain
1009,Pencil,Stationery,1.0,11,2024-01-06,Spain
1010,Backpack,Accessories,39.76,2,2024-01-07,Italy
1003,Laptop,Electronics,786.97,2,2024-01-03,Germany
1004,Monitor,Electronics,138.9,1,2024-01-03,Spain
1007,Headphones,Electronics,48.19,1,2024-01-05,Germany
1001,Keyboard,Electronics,29.3,1,2024-01-02,France
1007,Headphones,Electronics,52.63,1,2024-01-05,Germany
1006,Chair,Furniture,61.02,3,2024-01-04,Italy
1006,Chair,Furniture,54.7,2,2024-01-04,Italy
1001,Keyboard,Electronics,30.48,3,2024-01-02,France
1003,Laptop,Electronics,783.62,1,2024-01-03,Germany
1006,Chair,Furniture,57.96,1,2024-01-04,Italy
1007,Headphones,Electronics,51.52,2,2024-01-05,Germany
1004,Monitor,Electronics,157.72,1,2024-01-03,Spain
1008,Notebook,Stationery,3.66,3,2024-01-06,France
1009,Pencil,Stationery,0.95,11,2024-01-06,Spain
1008,Notebook,Stationery,3.45,3,2024-01-06,France
1001,Keyboard,Electronics,30.49,2,2024-01-02,France
1007,Headphones,Electronics,52.43,2,2024-01-05,Germany
1006,Chair,Furniture,58.55,2,2024-01-04,Italy
1006,Chair,Furniture,59.43,1,2024-01-04,Italy
1008,Notebook,Stationery,3.31,3,2024-01-06,France
1005,Desk,Furniture,94.01,2,2024-01-04,France
1007,Headphones,Electronics,52.02,1,2024-01-05,Germany
1006,Chair,Furniture,64.06,3,2024-01-04,Italy
1007,Headphones,Electronics,49.81,2,2024-01-05,Germany
1001,Keyboard,Electronics,31.49,3,2024-01-02,France
1007,Headphones,Electronics,50.89,2,2024-01-05,Germany
1002,Mouse,Electronics,19.35,2,2024-01-02,France
1008,Notebook,Stationery,3.56,4,2024-01-06,France
1001,Keyboard,Electronics,32.3,3,2024-01-02,France
1002,Mouse,Electronics,19.95,1,2024-01-02,France
1006,Chair,Furniture,64.68,1,2024-01-04,Italy
1009,Pencil,Stationery,0.86,11,2024-01-06,Spain
1009,Pencil,Stationery,1.03,9,2024-01-06,Spain
1003,Laptop,Electronics,802.48,2,2024-01-03,Germany
1010,Backpack,Accessories,39.39,1,2024-01-07,Italy
1007,Headphones,Electronics,50.22,1,2024-01-05,Germany
1004,Monitor,Electronics,135.08,1,2024-01-03,Spain
1007,Headphones,Electronics,49.44,1,2024-01-05,Germany
1004,Monitor,Electronics,152.67,2,2024-01-03,Spain
1008,Notebook,Stationery,3.76,3,2024-01-06,France
1010,Backpack,Accessories,38.95,1,2024-01-07,Italy
1002,Mouse,Electronics,19.18,1,2024-01-02,France
